29,,Cooc_Payment_TradeNo,,cooc_payment_trade_no,string,varchar(20),v,,,cooc_payment_trade_no,string,
30,,Cooc_Payment_Note,,cooc_payment_note,string,Varchar(30),v,,,cooc_payment_note,string,
31,,Cooc_Payment_BankCode,,cooc_payment_bank_code,string,Varchar(10),v,,,cooc_payment_bank_code,string,
32,,Cooc_Payment_Dueday,,cooc_payment_dueday,string,datetime,v,,,cooc_payment_dueday,string,
33,"c_order_d
(訂單明細)",Cood_Name,c_order_d,cood_name,string,nvarchar(200),,,c_order_d,cood_name,string,
34,,Cood_Qty,,cood_qty,number,int,,,,cood_qty,Int32,
35,,Cood_Original_Price,,cood_price,number,int,,,,cood_price,Int32,
36,,Cood_Discount_Price,,cood_discount_price,number,int,,20251106 頁面需要，沒盤到,,cood_discount_price,Int32,
37,,Cood_Receive_Price,,cood_receive_price,number,int,,,,cood_receive_price,Int32,
38,,Cood_Image_Path,,cood_image_path,string,varchar(200),v,,,cood_image_path,string,
39,"C_Goods_Item
(賣場項目設定檔)","Cgdi_Item_Type=4
Cgdi_Item_No=1
Cgdi_Item_Sub=0
Cgdi_Item_Thi=0",c_goods_item,cgdi_number_column1,number,int,,,c_goods_item,cgdi_number_column1,Int32,
40,"E_Shipment_M
(貨態主檔)",Esmm_No,e_shipment_m,esmm_no,string,varchar(15),v,,e_shipment_m,esmm_no,string,
41,,Esmm_Ship_No,,esmm_ship_no,string,varchar(20),v,,,esmm_ship_no,string,
42,,Esmm_Status,,esmm_status,string,varchar(2),v,,,esmm_status,string,
43,,Esmm_Ship_Method,,esmm_ship_method,string,varchar(2),v,,,esmm_ship_method,string,
44,,Esmm_ShipNo_AuthCode,,esmm_ship_no_auth_code,string,varchar(5),v,,,esmm_ship_no_auth_code,string,
45,,Esmm_Ship_No_A,,esmm_ship_no_a,string,varchar(3),v,,,esmm_ship_no_a,string,
46,,Esmm_LeaveStoreDate_B,,esmm_leave_store_date_b,string,Date,v,,,esmm_leave_store_date_b,string,
47,,Esmm_IbonApp_Flag,,esmm_ibon_app_flag,string,VARCHAR(1),v,,,esmm_ibon_app_flag,string,
48,,Esmm_Odd_Reason,,esmm_odd_reason,string,varchar(2),v,,,esmm_odd_reason,string,
49,,Esmm_ConfirmExtPay_Datetime,,esmm_confirm_extpay_datetime,string,datetime,v,暫無使用,,esmm_confirm_extpay_datetime,string,
50,"C_Question_M
(問答主檔)",Cqtm_CuamCid_Kind,c_question_m,seller_qa_never_reply_count,number,int,0,Kind=2,c_question_m,seller_qa_never_reply_count,Int32,
51,,Cqtm_Status,,buyer_qa_never_reply_count,number,int,0,Kind=1,,buyer_qa_never_reply_count,Int32,
52,"C_Cancel_M
(取消單主檔)",Cccm_Status,c_cancel_m,cccm_status,string,varchar(2),v,,c_cancel_m,cccm_status,string,
53,,Cccm_Cancel_People,,cccm_cancel_people,string,varchar(2),v,,,cccm_cancel_people,string,
54,,Cccm_Confirm_Datetime,,cccm_confirm_datetime,string,datetime,v,,,cccm_confirm_datetime,string,
55,,Cccm_Create_Datetime,,cccm_create_datetime,string,datetime,v,,,cccm_create_datetime,string,
56,,Cccm_Refund_Flag,,cccm_refund_flag,string,varchar(1),v,,,cccm_refund_flag,string,
57,,Cccm_ErfmNo,,cccm_erfm_no,string,varchar(15),v,,,cccm_erfm_no,string,
58,"E_Shipment_L
(出貨配送狀態歷程檔)",Esml_EsmmStatus,e_shipment_l,esml_esmm_status,string,varchar(2),v,,e_shipment_l,esml_esmm_status,string,
59,,Esml_Status_Datetime,,esml_status_datetime,string,datetime,v,,,esml_status_datetime,string,
60,E_Shipment_S,Esms_DlvStatus_No,e_shipment_s,esms_dlv_status_no,string,varchar(6),v,,e_shipment_s,esms_dlv_status_no,string,
61,,Esms_Status_Datetime,,esms_status_datetime,string,datetime,v,,,esms_status_datetime,string,
62,"E_CCCS
(門市關轉店檔)",ECCS_Id,e_cccs,eccs_id,number,int,v,,e_cccs,eccs_id,Int32,
63,,ECCS_Store_Type,,eccs_store_type,string,char(2),v,,,eccs_store_type,string,
64,,ECCS_ReChoice_StoreStatus,,eccs_rechoice_store_status,string,varchar(2),v,,,eccs_rechoice_store_status,string,
65,,ECCS_Create_Datetime,,eccs_create_datetime,string,datetime,v,,,eccs_create_datetime,string,
66,"E_CCDHL
(店到店退貨包裹待宅配檔)",Ecdh_Process_Code,e_ccdhl,ecdh_process_code,string,varchar(2),v,,e_ccdhl,ecdh_process_code,string,
67,,Ecdh_Esmm_No,,ecdh_esmm_no,string,varchar(15),v,,,ecdh_esmm_no,string,
68,"E_RtnDHL_Apply
(店到店退貨包裹宅資註記回檔)",Erda_Apply_Status,e_rtn_dhl_apply,erda_apply_status,string,varchar(2),v,,e_rtn_dhl_apply,erda_apply_status,string,
,,,,,,,,,,,,
